"FundManagerID","Funmager","Gender","BirthDate","NationalityCode","Nationality","DegreeID","Degree","Major","MajorChara","UniversityID","University","IsInternationalSchool","Is985Universities","Is211Universities","OveseaBack","PoliticalBack","Certificate","BusinessDuration","Resume"
"30736","李鹏","男","","CHN","中华人民共和国","3","本科","","","","","","","","","0","","","李鹏先生,基金经理,1976年出生,大学本科。历任广州证券有限责任公司机构管理部证券分析师,投资自营部投资经理,投资管理总部经理,从事证券研究及投资管理工作。2005年加入金鹰基金管理有限公司,先后担任行业研究员和金鹰成份股优选证券投资基金基金经理助理,从事行业研究工作和投资管理工作。2006年9月起担任金鹰成份股优选证券投资基金基金经理。"
"307646","谢爱龙","男","1971-00","CHN","中华人民共和国","4","MBA/EMBA","MBA","2","10390109","美国罗斯福大学","1","0","0","2","0","","","谢爱龙先生：南方基金管理公司总经理助理兼市场总监，毕业于复旦大学、美国罗斯福大学MBA，曾任深圳市机场股份有限公司董事会秘书、投资部经理，中国银行深圳市分行信贷处项目经理。"
"3025318","王国卫","男","1968-00","CHN","中华人民共和国","2","硕士研究生","经济学","5","","","","","","","0","","","王国卫先生，研究生学历。曾在上海国际信托投资公司证券投资信托部、投资银行部工作，曾担任基金安信、基金安久、华安180指数增强型基金经理，现任华安基金管理有限公司总经理助理、基金投资部总监、投资决策委员会成员、投资协调小组负责人。"
"3025360","肖强","男","1967-12","CHN","中华人民共和国","3","本科","","","10233356","中国人民公安大学","0","0","0","","0","","","肖强，现任公司投资总监。中国人民公安大学学士。曾在中信证券股份有限公司总部先后担任研究发展中心副总经理、策略分析师、股票自营交易部高级投资经理；曾在长盛基金管理有限公司担任投资部副总监兼投资决策委员会委员、基金经理；曾在国开证券股份有限公司先后担任资产管理部投资主办、证券投资部副总经理（主持工作）。自2024年12月27日起担任京管泰富京元一年定期开放债券型发起式证券投资基金基金经理、京管泰富科技驱动混合型发起式证券投资基金基金经理。"
"3025948","崔海鸿","男","1966-00","CHN","中华人民共和国","2","硕士研究生","工学","1","10143851","清华大学","1","1","1","","0","","9.00","崔海鸿先生，泰信基金管理有限公司总经理助理。清华大学工学硕士，证券投资从业经历9年。曾任大鹏证券有限责任公司综合研究所IT组组长、高级分析师、金鹰基金管理有限公司研究部副经理、高级分析师，2005年10月至2006年年末担任金鹰中小盘基金经理。2007年初加入泰信基金管理有限公司，兼优质生活基金基金经理。"
"3026782","钟志伟","男","1971-00","CHN","中华人民共和国","3","本科","金融","5","10149380","中南财经大学","0","0","0","","0","","","钟志伟先生，毕业于中南财经大学金融专业。1994年7月至2000年3月任职于深圳平安人寿保险公司；2000年3月至2005年8月任平安证券公司资产管理部债券分析员、固定收益部债券首席交易员；2005年8月至2006年2月任东海证券公司固定收益业务负责人。2006年2月加入诺安基金管理有限公司，曾于2006年2月至2006年8月担任诺安货币市场基金基金经理，2006年7月起担任诺安中短期债券投资基金（现诺安优化收益债券型证券投资基金）基金经理。拟任诺安增利债券型证券投资基金基金经理。"
"3026888","张学军","男","1972-00","CHN","中华人民共和国","2","硕士研究生","经济学","5","10143850","北京大学","1","1","1","","0","","","北京大学经济学硕士。历任原君安证券有限公司研究员、国泰君安证券股份有限公司资产管理部副经理。张学军先生于2003年1月加入本公司，任职交易部经理，2004年7月起任本基金的基金经理。"
"3027934","李洪雨","男","1977-00","CHN","中华人民共和国","2","硕士研究生","经济学","5","","","","","","","0","CFA","","李洪雨先生，经济学硕士，CFA，具有基金从业资格。历任东北证券公司研究员、国联安基金管理公司高级研究员兼基金经理助理、万家基金管理公司基金经理。2008年9月至2010年6月任万家和谐基金基金经理。2010年11月起任农银汇理大盘蓝筹股票型基金基金经理，2013年3月起任农银汇理策略价值股票型基金基金经理，2013年4月起任农银汇理基金管理有限公司投资部副总经理。"
"3028504","程国发","男","","CHN","中华人民共和国","2","硕士研究生","经济法","5","10143871","西安交通大学","1","1","1","","0","","10.00","程国发,男,中国国籍,西安交通大学经济法硕士。程国发先生1993年加入深圳南油集团,负责金融投资业务,1997年参加中信证券股份有限公司,从事投资银行业务,任高级经理;1999年加入招商证券股份有限公司从事研究业务,曾任行业研究员、研究发展中心副总经理和总经理。现任招商基金总经理助理兼研究总监。程国发先生具有10年证券从业经历,拥有国中证监会颁发的证券投资咨询从业资格和基金从业资格,是中国证券分析师协会第一届、第二届委员。"
"3028508","游海","男","1970-00","CHN","中华人民共和国","2","硕士研究生","工商管理","3","10229437","西南交通大学","0","0","1","","0","CPA","5.00","游海，男，1970年出生，中国国籍，西南交通大学工商管理硕士。毕业后就职于四川省成都市水电局；2002年6月加入国信证券有限责任公司研究所，任研究员；2003年12月加入融通基金管理有限公司研究部，任钢铁及房地产等行业研究员；2006年5月加入招商基金管理有限公司股票投资部，曾任公用事业及能源行业研究员，现任招商安泰系列基金经理。具有5年证券从业经历，并拥有中国注册会计师证书。"
"3029518","贺庆","男","1971-00","CHN","中华人民共和国","2","硕士研究生","经济学","5","","","","","","","0","","","贺庆，经济学硕士。贺庆先生1994年起于南方证券有限公司投资银行部工作并任高级经理，1998年加入博时基金管理有限公司，先后任高级交易员、研究员和基金经理助理。2002年加入招商基金。贺庆先生具有11年的证券从业经历，拥有中国证监会颁发的基金从业资格。"
"3029738","李华","男","1971-05","CHN","中华人民共和国","2","硕士研究生","货币银行学","5","104432","中国人民银行研究生部","0","0","0","","0","","","李华先生：副总经理。1998年获中国人民银行研究生部货币银行学硕士学位。历任中信银行南京分行上海证券营业部总经理助理，国泰基金管理公司研究部副经理，南方基金管理公司基金经理和华泰证券资产管理部总经理。"
"3036510","张维维","男","","CHN","中华人民共和国","2","硕士研究生","经济学,金融学","5","10389168","英国华威大学","1","0","0","2","0","","","张维维先生，英国华威大学经济与金融学硕士。自2005年起从事金融工作，历任北京天相投资顾问公司分析师。2007年3月加盟申万巴黎基金管理有限公司投资管理总部任行业分析师，2009年6月至2009年9月任申万巴黎盛利精选证券投资基金基金经理助理，2009年9月起任申万巴黎盛利强化配置混合型证券投资基金基金经理。"
"3037368","陆万山","男","1969-10-31","CHN","中华人民共和国","2","硕士研究生","工商管理","3","","","","","","","0","","","陆万山先生,1969年10月生,工商管理硕士。曾就职于深圳金地集团股份有限公司、亚洲控股有限公司、深圳市永泰投资有限公司从事证券投资及研究业务。2006年2月至2008年1月,任职于诺安基金管理有限公司,历任行业研究员,诺安平衡基金经理。2008年3月加入宝盈基金管理有限公司,担任特定客户资产管理部投资经理。2008年12月起担任宝盈鸿利收益证券投资基金经理、投资执行总监。2009年3月3日起担任宝盈泛沿海区域增长股票证券投资基金基金经理。"
"3037902","李君","男","","CHN","中华人民共和国","2","硕士研究生","工商管理","3","10143857","东北财经大学","0","0","0","","0","","10.00","李君,东北财经大学工商管理硕士，10年证券基金从业经验。曾任大连证券深圳投资研究中心研究部经理、巨田证券有限责任公司研究所研究员、行业部副经理。2007年1月加入本公司，历任首席策略师、投资管理部研究员。"
"30157308","邓瑞祥","男","1965-00","CHN","中华人民共和国","2","硕士研究生","国际金融","5","10143869","武汉大学","1","1","1","","0","","","邓瑞祥，国际金融硕士，高级经济师。1993年毕业于武汉大学管理学院国际金融专业；1993年8月至2001年7月，就职于深圳蓝天基金管理公司，历任证券投资部经理助理、信托资产管理一部经理、行政部经理及董事会秘书等职；2001年7月至2001年11月，任大通证券有限责任公司投资部投资总监；2001年12月至今，任长盛基金管理有限公司总经理助理，主管投资部和研究部。"
"30243212","黎莹","女","","CHN","中华人民共和国","2","硕士研究生","基础医学","7","10149414","复旦大学","1","1","1","","0","","","黎莹女士，硕士，毕业于复旦大学基础医学专业，从业15年。曾任群益证券（医药行业）研究员。2014年4月加入德邦基金，现担任德邦大健康灵活配置混合型证券投资基金、德邦价值优选混合型证券投资基金的基金经理。"
"30243576","杨挺","男","","CHN","中华人民共和国","2","硕士研究生","工学","1","10229379","天津大学","1","1","1","","0","","14.00","杨挺：天津大学工学硕士。证券从业年限15年。曾任广发证券股份有限公司发展研究中心研究员。2012年8月加入大成基金管理有限公司，曾担任研究部研究员、基金经理助理。2019年2月20日至2020年6月29日任大成国家安全主题灵活配置混合型证券投资基金基金经理。2014年6月26日起任大成健康产业混合型证券投资基金基金经理（更名前为大成健康产业股票型证券投资基金）。2015年7月8日至2022年11月27日大成正向回报灵活配置混合型证券投资基金基金经理。2017年9月12日起任大成价值增长证券投资基金基金经理。2021年9月16日起任大成医药健康股票型证券投资基金基金经理。2022年5月6日起任大成品质医疗股票型证券投资基金基金经理。具有基金从业资格。国籍：中国"
