FundManagerID,Funmager,DegreeID,Degree,UniversityID,University,Major,MajorChara
30736,李鹏,3,本科,,N/A,N/A,
307646,谢爱龙,N/A,,10149414,复旦大学,N/A,
30243692,陈鹏扬,2,硕士研究生,,N/A,金融学,5
3025318,王国卫,2,硕士研究生,,N/A,经济学,5
30261174,武亮,1,博士研究生,10242727,香港城市大学,N/A,
3025360,肖强,3,本科,10233356,中国人民公安大学,N/A,
30244100,张圣贤,2,硕士研究生,,N/A,N/A,
30244545,武磊,1,博士研究生,,N/A,N/A,
30247435,魏立,2,硕士研究生,10229098,英国帝国理工大学,管理学,6
30247435,魏立,3,本科,10226507,上海交通大学,工学,1
30247454,易镜明,1,博士研究生,,N/A,N/A,
30248048,李捷,2,硕士研究生,,N/A,金融学,5
30248073,吴洋,3,本科,10143871,西安交通大学,工学,1
30248073,吴洋,2,硕士研究生,104432,中国人民银行研究生部,金融学,5
30248192,周应波,2,硕士研究生,10143850,北京大学,控制理论与控制工程,1
30248567,李健伟,2,硕士研究生,10149381,华南理工大学,工学,1
30263166,程广飞,2,硕士研究生,10226864,中科院研究生院,工学,1
30263166,程广飞,3,本科,10228718,北京科技大学,计算机,1
30249021,黄义志,2,硕士研究生,10149414,复旦大学,经济学,5
30249178,柳世庆,2,硕士研究生,10143850,北京大学,金融学,5
30264047,周中,2,硕士研究生,10149414,复旦大学,金融学,5
30264047,周中,3,本科,10226737,南京大学,工学,1
30249592,肖肖,2,硕士研究生,10143850,北京大学,金融学,5
30253260,余芽芳,2,硕士研究生,,N/A,N/A,
30323597,徐张红,2,硕士研究生,,N/A,N/A,
30264532,夏福陆,3,本科,10228964,河海大学,工学,1
30264532,夏福陆,2,硕士研究生,10224613,华东师范大学,经济学,5
30257436,柯海东,3,本科,10143953,华中科技大学,工学,1
30257436,柯海东,3,本科,10143869,武汉大学,管理学,6
30331248,韩益平,2,硕士研究生,,N/A,N/A,
30257903,谷琦彬,2,硕士研究生,,N/A,电机工程与应用电子技术,1
30265086,苏永超,2,硕士研究生,,N/A,N/A,
30337282,汪小平,1,博士研究生,,N/A,N/A,
30265919,向朝勇,1,博士研究生,10229546,中山大学,管理学,6
30377230,王亚伟,2,硕士研究生,,N/A,经济学,5
30266100,赵梓峰,3,本科,10226507,上海交通大学,工学,1
30259297,徐智麟,2,硕士研究生,,N/A,N/A,
30260402,赵语涛,1,博士研究生,10226507,上海交通大学,工学,1
30266357,贾仁栋,2,硕士研究生,,N/A,理学,1
30266545,魏萌,2,硕士研究生,10385578,英国埃克塞特大学,金融与投资,5
30267155,王永明,1,博士研究生,,N/A,经济学,5
30377288,包周荣,3,本科,10143851,清华大学,"机械制造,应用数学",1
30377333,蔡立辉,2,硕士研究生,10143869,武汉大学,工商管理,3
30377289,鲍翔,2,硕士研究生,10233408,英国拉夫堡大学,金融数学,5
30267176,阮涛,2,硕士研究生,10143953,华中科技大学,经济学,5
30267176,阮涛,3,本科,10226744,南京航空航天大学,工学,1
30377343,曾昭雄,3,本科,10229302,深圳大学,经济学,5
30377343,曾昭雄,2,硕士研究生,10143850,北京大学,经济学,5
30377312,卞勇,2,硕士研究生,,N/A,N/A,
30267248,王琦,1,博士研究生,10123973,中国人民大学,N/A,
30377313,波涛,1,博士研究生,10385501,纽约州立大学,"经济学,金融学",5
30377314,卜正伦,2,硕士研究生,,N/A,N/A,
30270006,李怀定,1,博士研究生,10149414,复旦大学,经济学,5
30377315,蔡宝美,2,硕士研究生,10447733,克兰非尔德大学,商学,5
30377316,蔡采,2,硕士研究生,10238976,香港大学,金融学,5
30286859,吴桢培,1,博士研究生,10226878,中国农业科学院,管理学,6
30286859,吴桢培,2,硕士研究生,10229548,中央财经大学,金融学,5
30368649,张惟,2,硕士研究生,10447197,法国巴黎第一大学,"金融学,管理学",5
30298152,赵旭照,2,硕士研究生,10143850,北京大学,金融学,5
30323042,张小强,2,硕士研究生,,N/A,N/A,
30377317,蔡丞丰,2,硕士研究生,,N/A,N/A,
30377372,蔡望鹏,2,硕士研究生,10143851,清华大学,固体力学,1
30377321,蔡丹,2,硕士研究生,10229546,中山大学,概率论与数理统计,1
30377322,蔡飞鸣,2,硕士研究生,,N/A,"国际金融,管理学",5
30377324,蔡卡尔,2,硕士研究生,,N/A,N/A,
30377394,蔡正宏,2,硕士研究生,10143861,上海财经大学,金融学,5
30377436,常松,1,博士研究生,10149378,东南大学,管理科学与工程,6
30377325,蔡乐,3,本科,10229377,天津财经大学,投资学,5
30377396,曹春林,3,本科,10143878,厦门大学,经济学,5
30377438,常永涛,N/A,,10128393,西南财经大学,N/A,
30377438,常永涛,2,硕士研究生,10447941,澳门国际大学,工商管理,3
30377444,陈博亮,2,硕士研究生,,N/A,N/A,
30377403,曹松涛,1,博士研究生,,N/A,金融学,5
30377499,陈梁,2,硕士研究生,,N/A,经济学,5
30377404,曹祥,2,硕士研究生,10226737,南京大学,微电子学与固体电子学,1
30377500,陈亮,2,硕士研究生,10123973,中国人民大学,国民经济学,5
30377446,陈东,1,博士研究生,10143869,武汉大学,经济学,5
30377407,岑伟昌,2,硕士研究生,10388897,美国印第安纳大学,工商管理,3
30377502,陈龙,2,硕士研究生,,N/A,经济学,5
30377411,曾丹华,2,硕士研究生,,N/A,N/A,
30377447,陈丰,2,硕士研究生,10143861,上海财经大学,经济学,5
30377413,曾海,2,硕士研究生,,N/A,N/A,
30377503,陈茂仁,1,博士研究生,,N/A,"医学,经济学",5
30377452,陈光明,2,硕士研究生,,N/A,工学,1
30377417,曾芒,1,博士研究生,,N/A,经济学,5
30377501,陈列敏,2,硕士研究生,,N/A,工学,1
30377422,曾婷婷,2,硕士研究生,10143850,北京大学,工商管理,3
30377422,曾婷婷,3,本科,10229546,中山大学,N/A,
30377424,曾宇,2,硕士研究生,10228686,巴黎高等商学院,N/A,
30377426,查晓磊,1,博士研究生,10238973,香港中文大学,金融学,5
30377434,常昊,2,硕士研究生,10143871,陕西财经学院,经济学,5
30378201,陈永强,2,硕士研究生,10385591,荷兰代尔夫特工业大学,工学,1
30377582,陈绍胜,1,博士研究生,,N/A,N/A,
30377434,常昊,N/A,,10229429,西北大学,数学,1
30378222,陈玥,2,硕士研究生,,N/A,N/A,
30377583,陈晟,2,硕士研究生,,N/A,N/A,
30377458,陈虎,1,博士研究生,10143851,清华大学,生物学,7
30377464,陈晖霞,2,硕士研究生,10229546,中山大学岭南学院,金融学,5
30377466,陈继武,2,硕士研究生,,N/A,工学,1
30378232,陈钟闻,2,硕士研究生,10228720,北京理工大学,工商管理,3
30378232,陈钟闻,3,本科,10228720,北京理工大学,N/A,
30377584,陈守红,1,博士研究生,10149380,中南财经政法大学,金融学,5
30378189,杨帆,2,硕士研究生,10143850,北京大学,工商管理学,3
30378191,Gabriel Gondard,2,硕士研究生,10448293,ESCP-EAP欧洲管理学院,N/A,
30377475,陈建良,3,本科,,N/A,N/A,
30378246,程卓,2,硕士研究生,10143869,武汉大学,金融工程,5
30378192,陈玮,2,硕士研究生,,N/A,应用数学,1
30377476,陈剑平,3,本科,,N/A,经济学,5
30377476,陈剑平,2,硕士研究生,,N/A,工商管理,3
