behavior_id,user_id,product_id,behavior_type,behavior_time,duration_seconds
B00000001,U001578,P000954,浏览,2025-12-24 14:08:35.768433,356
B00000002,U001481,P001692,浏览,2026-01-28 00:04:35.768433,153
B00000003,U004429,P001119,浏览,2025-12-31 15:14:35.768433,406
B00000004,U000747,P001615,收藏,2026-03-03 06:52:35.768433,0
B00000005,U004962,P000695,收藏,2026-01-14 10:50:35.768433,0
B00000006,U003088,P000826,浏览,2025-12-26 00:32:35.768433,238
B00000007,U004741,P001192,浏览,2026-01-07 15:02:35.768433,475
B00000008,U000150,P001013,浏览,2026-03-02 09:49:35.768433,215
B00000009,U003866,P001722,浏览,2026-02-04 08:15:35.768433,256
B00000010,U004898,P001864,点击,2026-01-03 04:32:35.768433,553
B00000011,U004978,P000430,浏览,2025-12-13 13:17:35.768433,65
B00000012,U002329,P001866,浏览,2026-02-15 02:33:35.768433,397
B00000013,U001676,P001709,浏览,2026-02-21 05:28:35.768433,107
B00000014,U002587,P001674,浏览,2026-02-07 07:01:35.768433,512
B00000015,U002390,P001382,浏览,2026-02-02 20:29:35.768433,495
B00000016,U000674,P000722,收藏,2026-01-13 02:45:35.768433,0
B00000017,U003702,P001840,点击,2026-01-04 05:52:35.768433,529
B00000018,U001361,P001756,浏览,2025-12-23 15:35:35.768433,582
B00000019,U003067,P000702,浏览,2026-01-01 14:12:35.768433,50
B00000020,U003147,P001820,浏览,2026-01-24 23:17:35.768433,294
B00000021,U003618,P000114,点击,2026-02-14 21:18:35.768433,218
B00000022,U003068,P000532,收藏,2025-12-07 04:00:35.768433,0
B00000023,U002163,P001624,浏览,2026-01-12 22:21:35.768433,552
B00000024,U001445,P000505,浏览,2025-12-07 15:50:35.768433,93
B00000025,U004026,P001350,浏览,2025-12-24 07:04:35.768433,59
B00000026,U002161,P001321,浏览,2026-01-01 11:57:35.768433,15
B00000027,U003354,P001392,浏览,2026-02-03 12:09:35.768433,411
B00000028,U004820,P000864,浏览,2025-12-05 07:06:35.768433,225
B00000029,U001771,P001798,浏览,2025-12-23 22:52:35.768433,115
B00000030,U004545,P001419,浏览,2026-02-23 19:11:35.768433,7
B00000031,U001703,P001054,加购,2025-12-06 20:14:35.768433,0
B00000032,U000195,P000387,浏览,2026-02-17 22:28:35.768433,327
B00000033,U000575,P000968,收藏,2025-12-28 23:31:35.768433,0
B00000034,U002630,P001953,点击,2026-02-12 16:10:35.768433,365
B00000035,U004687,P000054,点击,2026-02-19 20:42:35.768433,33
B00000036,U004644,P000687,浏览,2026-01-10 07:28:35.768433,477
B00000037,U000389,P000979,点击,2025-12-15 06:07:35.768433,417
B00000038,U001753,P000762,点击,2026-02-15 22:43:35.768433,132
B00000039,U000661,P000010,点击,2025-12-25 09:13:35.768433,266
B00000040,U002833,P001811,加购,2026-03-04 13:31:35.768433,0
B00000041,U004630,P001289,浏览,2026-01-09 12:52:35.768433,9
B00000042,U000297,P000135,浏览,2025-12-09 14:05:35.768433,274
B00000043,U000331,P000573,点击,2026-01-23 02:42:35.768433,531
B00000044,U003850,P000526,收藏,2026-01-17 03:57:35.768433,0
B00000045,U004951,P000258,浏览,2026-02-12 18:20:35.768433,444
B00000046,U001285,P001430,收藏,2025-12-29 01:25:35.768433,0
B00000047,U001079,P000444,收藏,2025-12-17 00:15:35.768433,0
B00000048,U000875,P000301,浏览,2025-12-29 03:22:35.768433,523
B00000049,U003867,P001812,浏览,2026-01-04 08:25:35.768433,483
B00000050,U004838,P001050,浏览,2026-01-21 22:52:35.768433,120
B00000051,U002686,P001467,浏览,2026-02-16 17:05:35.768433,449
B00000052,U002490,P001015,浏览,2026-01-04 22:18:35.768433,65
B00000053,U001586,P000964,收藏,2026-01-11 17:29:35.768433,0
B00000054,U003808,P001063,点击,2026-01-04 20:38:35.768433,497
B00000055,U002941,P001270,浏览,2026-01-25 00:26:35.768433,252
B00000056,U004487,P001000,浏览,2026-02-08 00:32:35.768433,235
B00000057,U004469,P001687,点击,2025-12-27 08:17:35.768433,574
B00000058,U001503,P001232,浏览,2026-02-21 20:59:35.768433,154
B00000059,U000746,P001689,点击,2026-01-05 03:28:35.768433,114
B00000060,U002613,P000628,浏览,2026-02-25 10:58:35.768433,63
B00000061,U001509,P000201,加购,2025-12-24 15:16:35.768433,0
B00000062,U001771,P001205,收藏,2025-12-15 21:39:35.768433,0
B00000063,U003780,P000381,点击,2026-02-09 14:20:35.768433,191
B00000064,U001962,P001931,点击,2026-01-10 03:52:35.768433,59
B00000065,U001596,P001817,浏览,2026-01-25 10:59:35.768433,52
B00000066,U004781,P001951,浏览,2026-01-13 14:03:35.768433,115
B00000067,U002534,P001198,浏览,2025-12-26 01:56:35.768433,124
B00000068,U003659,P000667,浏览,2026-02-08 20:01:35.768433,290
B00000069,U000466,P000868,收藏,2026-02-14 18:52:35.768433,0
B00000070,U002070,P001343,浏览,2026-02-06 14:27:35.768433,543
B00000071,U002444,P001139,收藏,2026-01-31 04:32:35.768433,0
B00000072,U001233,P000303,浏览,2026-02-17 06:01:35.768433,146
B00000073,U000145,P000142,收藏,2025-12-13 10:17:35.768433,0
B00000074,U002353,P001815,浏览,2025-12-22 04:00:35.768433,124
B00000075,U001808,P000528,浏览,2026-01-28 22:43:35.768433,396
B00000076,U003049,P001172,点击,2025-12-17 00:40:35.768433,573
B00000077,U004043,P001525,浏览,2026-01-04 16:28:35.768433,362
B00000078,U004140,P001411,浏览,2026-03-05 15:25:35.768433,28
B00000079,U004203,P001798,收藏,2026-02-22 03:29:35.768433,0
B00000080,U004246,P001053,浏览,2026-02-15 17:08:35.768433,592
B00000081,U001288,P000260,浏览,2026-03-05 12:34:35.768433,528
B00000082,U000110,P000961,浏览,2026-02-27 18:06:35.768433,291
B00000083,U004846,P000114,浏览,2026-01-08 08:56:35.768433,478
B00000084,U004820,P000008,浏览,2026-01-04 12:19:35.768433,202
B00000085,U002791,P001328,浏览,2025-12-31 19:23:35.768433,538
B00000086,U004424,P000255,浏览,2025-12-24 10:14:35.768433,230
B00000087,U000862,P000084,收藏,2026-01-15 00:08:35.768433,0
B00000088,U000461,P001020,浏览,2026-01-19 12:45:35.768433,399
B00000089,U001105,P001040,浏览,2025-12-29 12:05:35.768433,268
B00000090,U000744,P001327,浏览,2026-02-23 02:45:35.768433,405
B00000091,U002411,P001823,收藏,2026-02-06 16:58:35.768433,0
B00000092,U003793,P000096,浏览,2026-01-29 00:29:35.768433,16
B00000093,U004994,P000122,收藏,2026-01-09 05:10:35.768433,0
B00000094,U000443,P000226,浏览,2026-01-01 23:48:35.768433,436
B00000095,U001834,P000029,浏览,2026-02-01 01:31:35.768433,120
B00000096,U000886,P000588,浏览,2025-12-24 08:57:35.768433,19
B00000097,U003605,P001348,收藏,2026-01-20 17:37:35.768433,0
B00000098,U004357,P001143,浏览,2026-01-18 07:49:35.768433,442
B00000099,U004376,P001195,浏览,2025-12-10 10:52:35.768433,41
B00000100,U003222,P000034,收藏,2026-01-10 15:59:35.768433,0
B00000101,U000152,P001798,浏览,2025-12-24 16:14:35.768433,231
B00000102,U001597,P001329,浏览,2026-01-17 16:39:35.768433,244
B00000103,U001672,P001212,点击,2026-03-04 16:10:35.768433,537
B00000104,U001535,P001075,浏览,2026-01-18 06:26:35.768433,163
B00000105,U001566,P001545,浏览,2026-03-05 04:19:35.768433,156
B00000106,U000951,P000133,加购,2026-01-22 18:40:35.768433,0
B00000107,U002915,P001390,浏览,2026-01-17 14:06:35.768433,219
B00000108,U002493,P001216,浏览,2026-03-04 03:21:35.768433,570
B00000109,U001342,P000528,浏览,2026-03-01 02:21:35.768433,174
B00000110,U000732,P001211,浏览,2025-12-13 07:13:35.768433,192
B00000111,U004334,P000184,点击,2026-02-27 23:53:35.768433,250
B00000112,U000539,P001217,加购,2026-02-01 13:58:35.768433,0
B00000113,U000769,P001108,点击,2026-02-26 03:46:35.768433,387
B00000114,U002857,P000896,点击,2026-03-01 23:39:35.768433,221
B00000115,U003726,P001955,浏览,2026-01-04 02:58:35.768433,474
B00000116,U002122,P001418,收藏,2026-01-06 07:27:35.768433,0
B00000117,U001735,P000985,浏览,2026-01-03 22:43:35.768433,329
B00000118,U004392,P001711,浏览,2025-12-13 04:47:35.768433,338
B00000119,U000014,P001527,加购,2026-02-20 21:15:35.768433,0
B00000120,U004708,P000604,点击,2026-03-02 02:41:35.768433,513
B00000121,U003675,P000803,收藏,2026-02-13 23:51:35.768433,0
B00000122,U004491,P001086,点击,2026-02-11 18:33:35.768433,144
B00000123,U000191,P000033,浏览,2026-01-11 19:35:35.768433,481
B00000124,U002865,P000493,加购,2026-01-08 01:53:35.768433,0
B00000125,U004103,P000143,点击,2026-02-26 12:32:35.768433,43
B00000126,U001105,P001365,浏览,2025-12-26 13:44:35.768433,346
B00000127,U002813,P001386,点击,2026-02-09 01:59:35.768433,140
B00000128,U000652,P001955,浏览,2026-03-03 11:45:35.768433,329
B00000129,U001381,P000123,收藏,2025-12-09 11:41:35.768433,0
B00000130,U000802,P001522,浏览,2025-12-05 16:41:35.768433,33
B00000131,U004545,P001139,加购,2025-12-19 23:15:35.768433,0
B00000132,U002122,P001909,浏览,2025-12-29 21:56:35.768433,71
B00000133,U001985,P001381,加购,2026-01-13 08:45:35.768433,0
B00000134,U004141,P001418,点击,2025-12-10 01:35:35.768433,561
B00000135,U001553,P001528,加购,2026-02-25 15:46:35.768433,0
B00000136,U002793,P000592,点击,2025-12-31 17:52:35.768433,553
B00000137,U002724,P001940,收藏,2026-01-30 20:27:35.768433,0
B00000138,U002023,P000754,浏览,2026-01-08 21:21:35.768433,459
B00000139,U004671,P001160,浏览,2025-12-18 15:54:35.768433,160
B00000140,U001431,P000365,浏览,2025-12-31 09:27:35.768433,52
B00000141,U004189,P001631,浏览,2025-12-13 22:45:35.768433,424
B00000142,U002514,P000264,浏览,2026-03-05 13:21:35.768433,416
B00000143,U000604,P001165,浏览,2025-12-24 11:31:35.768433,373
B00000144,U000327,P000088,浏览,2026-01-21 08:02:35.768433,456
B00000145,U003839,P000460,点击,2025-12-06 20:02:35.768433,513
B00000146,U002776,P001261,浏览,2026-01-05 20:31:35.768433,420
B00000147,U003640,P001534,加购,2026-02-22 16:52:35.768433,0
B00000148,U000591,P001595,浏览,2026-02-22 17:18:35.768433,503
B00000149,U001439,P001873,浏览,2025-12-20 02:37:35.768433,481
B00000150,U003571,P001199,浏览,2026-02-12 22:25:35.768433,564
B00000151,U000851,P001596,浏览,2025-12-14 11:09:35.768433,521
B00000152,U000440,P001193,点击,2026-02-22 23:23:35.768433,487
B00000153,U002996,P001076,浏览,2026-01-25 00:57:35.768433,130
B00000154,U004424,P001252,浏览,2026-02-08 22:50:35.768433,199
B00000155,U001666,P001272,点击,2026-02-17 13:35:35.768433,15
B00000156,U002909,P000332,收藏,2026-01-16 00:20:35.768433,0
B00000157,U001258,P000888,点击,2026-02-11 14:30:35.768433,529
B00000158,U001545,P001462,浏览,2025-12-23 12:12:35.768433,265
B00000159,U001906,P001060,浏览,2026-02-05 16:21:35.768433,519
B00000160,U003680,P001357,点击,2026-02-08 17:20:35.768433,220
B00000161,U001816,P000099,浏览,2026-01-31 00:10:35.768433,513
B00000162,U002277,P001093,浏览,2026-01-31 20:07:35.768433,139
B00000163,U003317,P000141,加购,2026-01-19 04:15:35.768433,0
B00000164,U001451,P000494,点击,2026-01-20 02:05:35.768433,6
B00000165,U002048,P001736,点击,2026-01-07 01:55:35.768433,45
B00000166,U004840,P001015,浏览,2026-02-12 20:45:35.768433,406
B00000167,U003545,P001291,浏览,2025-12-21 10:29:35.768433,440
B00000168,U004907,P000008,浏览,2025-12-27 04:25:35.768433,222
B00000169,U003635,P001439,浏览,2025-12-06 09:16:35.768433,138
B00000170,U000174,P001598,收藏,2025-12-13 00:48:35.768433,0
B00000171,U001099,P001164,点击,2026-01-28 16:17:35.768433,347
B00000172,U001123,P001931,浏览,2025-12-06 06:03:35.768433,442
B00000173,U002561,P001425,收藏,2026-01-30 20:06:35.768433,0
B00000174,U002043,P001435,点击,2026-02-07 14:25:35.768433,525
B00000175,U003779,P000845,浏览,2026-01-05 14:36:35.768433,581
B00000176,U002177,P001933,收藏,2026-02-19 05:56:35.768433,0
B00000177,U002422,P001897,浏览,2025-12-15 17:08:35.768433,558
B00000178,U004332,P000854,点击,2026-02-16 08:01:35.768433,389
B00000179,U004838,P001134,浏览,2026-01-23 11:02:35.768433,367
B00000180,U003773,P001196,点击,2026-01-16 01:01:35.768433,454
B00000181,U001693,P001594,浏览,2026-03-01 11:54:35.768433,322
B00000182,U000291,P000856,浏览,2026-02-20 02:16:35.768433,518
B00000183,U003932,P000414,加购,2026-03-04 17:12:35.768433,0
B00000184,U001419,P000909,收藏,2026-01-04 12:17:35.768433,0
B00000185,U001989,P001032,收藏,2025-12-13 19:27:35.768433,0
B00000186,U000568,P000965,浏览,2026-01-19 13:28:35.768433,253
B00000187,U003039,P000363,浏览,2026-01-05 05:27:35.768433,415
B00000188,U002346,P000376,浏览,2026-03-03 07:47:35.768433,481
B00000189,U003144,P001600,浏览,2025-12-17 08:01:35.768433,23
B00000190,U002304,P001844,加购,2025-12-22 00:11:35.768433,0
B00000191,U000309,P001926,点击,2026-01-13 06:45:35.768433,446
B00000192,U002139,P001351,点击,2026-02-02 13:52:35.768433,72
B00000193,U002197,P001974,点击,2026-01-17 03:17:35.768433,585
B00000194,U000462,P000278,浏览,2026-01-03 01:13:35.768433,511
B00000195,U004731,P001215,浏览,2026-01-26 20:39:35.768433,371
B00000196,U003821,P000504,浏览,2026-02-04 06:32:35.768433,13
B00000197,U004733,P001758,点击,2026-01-11 08:49:35.768433,7
B00000198,U000646,P000079,浏览,2026-01-30 04:13:35.768433,227
B00000199,U004614,P001573,加购,2025-12-20 22:28:35.768433,0
B00000200,U001397,P001976,浏览,2025-12-30 16:39:35.768433,541
B00000201,U003269,P001961,浏览,2026-01-26 02:54:35.768433,83
B00000202,U004286,P000700,加购,2025-12-28 16:02:35.768433,0
B00000203,U003875,P000660,浏览,2026-02-16 17:56:35.768433,310
B00000204,U004175,P000095,收藏,2026-01-22 21:33:35.768433,0
B00000205,U001571,P001651,浏览,2026-01-25 17:47:35.768433,62
B00000206,U000816,P000453,浏览,2026-01-20 08:13:35.768433,268
B00000207,U001906,P001709,点击,2026-02-12 08:38:35.768433,214
B00000208,U004168,P000634,点击,2025-12-11 18:26:35.768433,576
B00000209,U002091,P001338,点击,2026-02-11 13:19:35.768433,558
B00000210,U004899,P001228,收藏,2026-02-23 17:23:35.768433,0
B00000211,U003205,P000677,收藏,2026-02-07 09:33:35.768433,0
B00000212,U003871,P000222,浏览,2026-02-02 17:55:35.768433,7
B00000213,U001130,P001959,加购,2025-12-24 11:38:35.768433,0
B00000214,U002056,P000771,加购,2026-01-03 17:16:35.768433,0
B00000215,U001798,P001613,点击,2026-02-21 07:03:35.768433,95
B00000216,U003415,P000587,点击,2025-12-08 09:54:35.768433,367
B00000217,U002485,P001994,点击,2026-02-06 06:56:35.768433,214
B00000218,U000689,P000734,点击,2026-01-16 07:53:35.768433,76
B00000219,U003464,P001225,浏览,2026-02-02 19:14:35.768433,366
B00000220,U000576,P001246,加购,2026-02-17 11:50:35.768433,0
B00000221,U004996,P000605,点击,2026-02-16 09:49:35.768433,11
B00000222,U003011,P001574,浏览,2026-01-23 12:46:35.768433,15
B00000223,U003903,P000430,点击,2025-12-08 22:43:35.768433,374
B00000224,U004816,P001258,浏览,2026-01-10 03:13:35.768433,550
B00000225,U004322,P000121,浏览,2025-12-27 20:16:35.768433,220
B00000226,U003871,P001585,点击,2026-01-02 00:51:35.768433,384
B00000227,U002840,P001058,收藏,2025-12-20 22:24:35.768433,0
B00000228,U003075,P001690,浏览,2025-12-18 16:49:35.768433,199
B00000229,U004641,P000130,收藏,2026-02-03 11:15:35.768433,0
B00000230,U002526,P001403,点击,2026-01-21 05:46:35.768433,314
B00000231,U003482,P001592,点击,2026-03-05 03:00:35.768433,559
B00000232,U002018,P000612,收藏,2026-01-14 19:57:35.768433,0
B00000233,U003379,P001159,加购,2026-02-04 18:07:35.768433,0
B00000234,U003286,P000884,浏览,2026-02-09 21:25:35.768433,333
B00000235,U003102,P001060,加购,2026-01-26 09:33:35.768433,0
B00000236,U004515,P000168,浏览,2026-01-21 09:57:35.768433,573
B00000237,U003609,P000206,浏览,2026-02-10 09:29:35.768433,305
B00000238,U001052,P001499,点击,2026-01-28 13:14:35.768433,193
B00000239,U004705,P000794,加购,2025-12-09 07:36:35.768433,0
B00000240,U000087,P001620,浏览,2026-01-31 09:27:35.768433,343
B00000241,U003098,P000075,点击,2026-02-13 09:55:35.768433,341
B00000242,U004809,P001114,点击,2025-12-29 19:09:35.768433,412
B00000243,U002440,P000633,点击,2026-02-23 10:55:35.768433,75
B00000244,U001278,P001635,点击,2026-02-21 01:43:35.768433,287
B00000245,U000520,P001349,点击,2026-01-13 22:28:35.768433,69
B00000246,U000387,P001296,浏览,2026-01-24 18:02:35.768433,457
B00000247,U000014,P000075,点击,2025-12-31 09:55:35.768433,538
B00000248,U004187,P001889,浏览,2026-01-06 22:07:35.768433,313
B00000249,U003476,P000137,浏览,2025-12-12 01:13:35.768433,228
